filed (Year filed),end (Year end),host (Host state ISO3),caseno (Case no.),parties (Parties to arbitration),direct,execrlc,execrlc_dummy,execrlc_count,home (Home state ISO3),winner,settled,partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
2005,2007,ARG,ARB/05/1,Daimler Financial Services AG v. Argentine Republic,0,3,1,2,DEU,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Germany BIT,Finance (financial services),FIN,unknown,unknown,yes,0,0,yes,2012,2014,discontinued
2004,2007,CHL,ARB/04/7,Sociedad Anonima Eduardo Vieira v. Republic of Chile,0,3,1,2,ESP,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Chile-Spain BIT,Agricultural enterprise (fishing),AGR,unknown,unknown,yes,0,0,yes,2008,2010,upheld
2004,2007,CZE,088/2004,Eastern Sugar BV v. Czech Republic,0,0,NA,NA,NLD,investor,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Netherlands-Czech Republic BIT,Agricultural enterprise (sugar beets),AGR,"?_88537000, plus interest",100,yes,"US$25539995, plus annual interest of 7%",25.5,n.a.,n.a.,n.a.,n.a.
2003,2007,ECU,ARB/03/6,"MCI Power Group, LC & New Turbine, Inc. v. Republic of Ecuador",0,3,1,2,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Ecuador-United States BIT,Electric power concession,UTL,unknown,unknown,yes,0,0,yes,2007,2009,upheld
2004,2007,EST,ARB/04/6,OKO Osuuspankkien Keskuspankki Oyj and others v. Republic of Estonia,0,0,NA,NA,DEU,investor,0,,0,FIN,n.a.,n.a.,n.a.,ICSID,"Estonia-Germany BIT, Estonia-Finland BIT",Banking,FIN,At least US$4m and DEM21.9m,32,yes,"Enumerate award in two parts: US$4.4m and ?_8.3m, plus interest (Respondent to pay Claimant's legal costs and share of arbitration costs)",15.4,no,n.a.,n.a.,n.a.
2005,2007,LTU,ARB/05/8,Parkerings-Compagniet AS v. Republic of Lithuania,0,0,NA,NA,NOR,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Lithuania-Norway BIT,Public parking concession,SER,?_37.1m,40,yes,0,0,no,n.a.,n.a.,n.a.
2004,2007,MEX,ARB(AF)/04/5,"Archer Daniels Midland and Tate and Lyle Ingredients Americas, Inc. v. United Mexican States",0,1,0,0,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Manufacturing (sweeteners),MFG,US$100m,100,yes,"US$33510091, plus interest",33.5,no,n.a.,n.a.,n.a.
2005,2007,MYS,ARB/05/10,"Malaysian Historical Salvors, SDN, BHD v. Malaysia",0,0,NA,NA,GBR,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Malaysia-United Kingdom BIT,Salvage,SER,Approximately US$1.4m,1.4,yes,0,0,yes,2007,2009,overturned
2003,2007,PHL,ARB/03/25,Fraport AG Frankfurt Airport Services Worldwide v. Republic of the Philippines,0,2,NA,1,DEU,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Germany-Philippines BIT,Airport,SER,Approximately US$450m,450,yes,0,0,yes,2008,2010,overturned
2002,2007,TUR,ARB/02/5,PSEG Global Inc. & Konya Ilgin Elektrik retim ve Ticaret Limited Sirketi v. Republic of Turkey,0,0,NA,NA,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Turkey-United States BIT,Electric power concession,UTL,US$500m,500,yes,"Tribunal has jurisdiction over PSEG and Konya; Tribunal lacks jurisdiction over NACC; Awarded US$9,061,479.34 plus interest and part of claimant's costs (65% of the costs of the arbitration and legal costs and fees US$13,553,563.80)",9.1,no,n.a.,n.a.,n.a.
2002,2007,UKR,ARB/02/18,Tokios Tokeles v. Ukraine,0,0,NA,NA,LTU,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Lithuania-Ukraine BIT,Publishing,SER,"Approximately US$65, plus interest",65,yes,0,0,no,n.a.,n.a.,n.a.
2005,2007,VEN,ARB/05/4,I&I Beheer BV v. Bolivarian Republic of Venezuela,0,0,NA,NA,NLD,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Netherlands-Venezuela BIT, Venezuela Investment Law (1999)",Banking,FIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2001,2007,ARG,ARB/01/3,Enron Corporation & Ponderosa Assets LP v. Argentina,1,3,1,2,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Oil and gas,OIL,Up to US$582m,582,yes,"US$106.2m, plus 2% interest",106.2,yes,2008,pending,pending
2002,2007,ARG,ARB/02/16,Sempra Energy International v. Argentine Republic,1,3,1,2,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Oil and gas,OIL,Approximately US$210m,210,yes,"US$128.25m, plus interest (each party to pay their own legal costs and split arbitration costs)",128.3,yes,2008,pending,pending
2005,2007,MEX,ARB(AF)/05/1,"Bayview Irrigation District, et al v. United Mexican States",0,1,0,0,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Agricultural enterprise,AGR,Up to US$667687930,667.7,yes,0,0,no,n.a.,n.a.,n.a.
2002,2008,ARG,ARB/02/17,AES Corporation v. Argentine Republic,0,3,1,2,USA,pending,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Electric power concession,UTL,US$750m,750,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2008,ARG,ARB/03/27,Unisys v. Argentine Republic,NA,3,1,2,USA,pending,NA,n.a.,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Software,SER,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2008,ARG,ARB/03/10,Gas Natural SDG SA v. Argentine Republic,0,3,1,2,ESP,settlement,1,,0,USA,n.a.,n.a.,n.a.,ICSID,"Argentina-Spain BIT, Argentina-US BIT",Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2008,ARG,ARB/03/13 consolidated with ARB/04/8,Pan American Energy LLC & BP Argentina Exploration Company v. Argentine Republic,0,3,1,2,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Electric power and hydrocarbon concessions,OIL,US$1.321b,1321,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2008,ARG,ARB/04/8 consolidated with ARB/03/13,"BP America Production Company, Pan American Sur SRL, Pan American Fueguina, SRL and Pan American Continental SRLothers v. Argentine Republic",NA,3,1,2,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-France BIT,Electric power and hydrocarbon concessions,OIL,US$1.321b,1321,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2008,ARM,ARB/07/7,Global Gold Mining LLC v. Republic of Armenia,0,0,NA,NA,USA,settlement,1,,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Armenia-United States BIT,Mining,MIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,2008,BOL,68/2008,AEI Luxembourg Holdings v. Bolivia,1,3,1,2,BELLUX,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,SCC,Belgium & Luxembourg-Bolivia BIT,Oil and gas (gas pipeline),OIL,US$120m,120,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,2008,BOL,n.a.,Gastrans Boliviano v. Bolivia,NA,3,1,2,GBR,settlement,1,,0,NLD,BRA,n.a.,n.a.,UNCITRAL,Bolivia-United Kingdom BIT,Oil and gas,OIL,GTB agreed to withraw claim in 2011 in exchange for US$39.3m,39.3,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2008,CAF,CONC/07/1,Shareholders of SESAM v. Central African Republic,NA,-999,NA,NA,GBR,state,0,,NA,FRA,n.a.,n.a.,n.a.,ICSID CR,Contract with host state,Agricultural enterprise (forestry),AGR,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2006,2008,COG,ARB/06/12,Scancem International ANS v. Republic of Congo,NA,3,1,2,NOR,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Manufacturing (cement),MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1996,2008,CZE,n.a.,Diag Human S.E. v. The Czech Republic,NA,0,NA,NA,LIE,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ad hoc,Contract with host state,Health services (Blood treatment & processing facility),SER,unknown,unknown,yes,US$650m,650,no,n.a.,n.a.,n.a.
2005,2008,CZE,n.a.,Pren Nreka v. Czech Republic,0,0,NA,NA,HRV,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Croatia-Czech Republic BIT,Real estate (commercial),RE,unknown,unknown,yes,"US$1.5m, no legal fees specified",1.5,n.a.,n.a.,n.a.,n.a.
2000,2008,DEU,n.a.,Ashok Sancheti v. Germany,NA,1,0,0,IND,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Germany-India BIT,Real estate,RE,"Not less than US$36m, plus costs",36,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2008,ECU,ARB/06/21,City Oriente Limited v. Republic of Ecuador & Empresa Estatal Petr??leos del Ecuador (Petroecuador),NA,3,1,2,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2008,ECU,ARB/06/17,"Tecnicas Reunidas, SA & Eurocontrol SA v. Republic of Ecuador",NA,3,1,2,ESP,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Ecuador-Spain BIT,Oil and gas,OIL,Approximately US$35m,35,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2008,GEO,ARB/05/23,Ares International Srl and MetalGeo Srl v. Georgia,0,0,NA,NA,ITA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Georgia-Italy BIT,Steel production,MFG,unknown,unknown,yes,"US$90m, plus interest",90,no,n.a.,n.a.,n.a.
2004,2008,HRV,n.a.,Ulemek (Select Office Equipment) v. Croatia,1,1,0,0,CAN,state,0,,1,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Canada-Croatia BIT,Manufacturing (office equipment),MFG,CAD2.6m,3,yes,0,0,n.a.,n.a.,n.a.,n.a.
2006,2008,KGZ,n.a.,Oxus Gold v. Kyrgyzstan,0,0,NA,NA,GBR,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,United Kingdom-Kyrgyzstan BIT,Mining,MIN,Approximately US$630m,630,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2008,PHL,ARB/02/6,SGS Societe Generale de Surveillance SA v. Republic of the Philippines,0,2,NA,1,CHE,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Philippines-Switzerland BIT,Consulting services (testing and verification),SER,"Approximately US$140m, plus interest",140,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2008,SVK,ARB/06/9,Branimir Mensik v. Slovak Republic,NA,3,1,2,NLD,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Slovak Republic-Switzerland BIT,Water supply concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2008,USA,n.a.,"Canadian Cattlemen for Fair Trade (Theodorus de Boer, et al [107 claimants]) v. United States of America",0,1,0,0,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Agricultural enterprise (cattle),AGR,Approximately US$235m,235,yes,0,0,n.a.,n.a.,n.a.,n.a.
2007,2008,YEM,n.a.,Yemen Exploration and Production Company (U.S.) v. Republic of Yemen,NA,0,NA,NA,USA,state,0,,1,n.a.,n.a.,n.a.,n.a.,ICC,Contract with host state,Oil and gas,OIL,US$10.9b,10900,yes,0,0,no,n.a.,n.a.,n.a.
2004,2008,POL,ARB(AF)/04/2,Cargill Incorporated v. Republic of Poland,0,1,0,0,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ISCID AF,Poland-United States BIT,Manufacturing (isoglucose),MFG,Approximately US$150m,150,yes,US$16.3m,16.3,no,n.a.,n.a.,n.a.
2003,2008,ARG,n.a.,National Grid Plc v. Argentina,0,3,1,2,GBR,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Argentina-United Kingdom BIT,Electric power concession,UTL,US$60m plus opportunity cost (US$22.3 million) and loss for time value of money (US$31 million),113.3,yes,"US$38.8m, plus interest",38.8,n.a.,n.a.,n.a.,n.a.
2003,2008,PER,ARB/03/28,Duke Energy International Peru Investments No. 1 Ltd. v. Republic of Peru,0,3,1,2,BMU,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Contract with host state (""Legal stability"" clause)",Electric power concession,UTL,unknown,unknown,yes,"US$18.4m, plus interest (each party to pay their legal costs and split cost of arbitration)",18.4,yes,2008,2011,upheld
2006,2008,PER,ARB/06/13,Aguaytia Energy LLC v. Republic of Peru,0,3,1,2,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Contract with host state (""Legal stability"" clause)",Electric power concession,UTL,US$91.1m,91.1,yes,0,0,no,n.a.,n.a.,n.a.
2003,2008,ARG,ARB/03/9,Continental Casualty Company v. Argentine Republic,0,3,1,2,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Finance (insurance),FIN,"Approximately US$114m, plus interest",114,yes,"US$2.8m, plus interest (each party to pay their own legal fees and split cost of arbitration)",2.8,yes,2009,2011,upheld
2003,2008,ARG,ARB/03/5,Metalpar S.A. and Buen Aire S.A. v. Argentine Republic,0,3,1,2,CHL,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Chile BIT,Manufacturing (busses and motor vehicles),MFG,"Approximately US$18m, plus interest",18,yes,0,0,no,n.a.,n.a.,n.a.
2004,2008,ARG,ARB/04/14,Wintershall Aktiengesellschaft v. Argentine Republic,0,3,1,2,DEU,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Germany BIT,Oil and gas,OIL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2005,2008,ARG,ARB/05/5,TSA Spectrum de Argentina SA v. Argentine Republic,0,3,1,2,NLD,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Netherlands BIT,Telecommunications,TEL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2003,2008,BGR,ARB/03/24,Plama Consortium Limited v. Republic of Bulgaria,0,0,NA,NA,CYP,state,0,,0,FIN,n.a.,n.a.,n.a.,ICSID,"Bulgaria-Cyprus BIT, Bulgaria-Finland BIT, Energy Charter Treaty",Oil and gas,OIL,US$300m,300,yes,0,0,no,n.a.,n.a.,n.a.
2005,2008,DZA,ARB/05/3,LESI SpA & Astaldi SpA v. People's Democratic Republic of Algeria,0,3,1,2,ITA,state,0,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Algeria-Italy BIT,Electric power concession (hydro),UTL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2004,2008,ECU,ARB/04/19,Duke Energy Electroquil Partners & Electroquil SA v. Republic of Ecuador,0,3,1,2,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Ecuador-United States BIT, Contract",Electric power concession,UTL,"Approximately US$25m, plus costs",25,yes,"US$5578566, plus simple interest",5.6,no,n.a.,n.a.,n.a.
2004,2008,EGY,ARB/04/13,Jan de Nul NV & Dredging International NV v. Arab Republic of Egypt,0,0,NA,NA,BELLUX,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Egypt BIT,Dredging operations,SER,Approximately US$70m,70,yes,0,0,no,n.a.,n.a.,n.a.
2005,2008,EGY,ARB/05/19,Helnan International Hotels A/S v. Arab Republic of Egypt,0,0,NA,NA,DNK,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Denmark-Egypt BIT,Tourism (hotel),SER,Up to ?_42m,50,yes,0,0,yes,2008,2010,partially overturned
2004,2008,GAB,ARB/04/5,Compagnie d'Exploitation du Chemin de Fer Transgabonais v. Gabonese Republic,0,0,NA,NA,BELLUX,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Transportation (rail),UTL,unknown,unknown,yes,unknown,unknown,yes,2008,2010,upheld
2005,2008,KAZ,ARB/05/16,Rumeli Telekom AS & Telsim Mobil Telekomunikasyon Hizmetleri AS v. Republic of Kazakhstan,0,2,NA,1,TUR,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Kazakhstan-Turkey BIT, Kazakhastan investment Law (1994)",Telecommunications,TEL,Up to US$458m,458,yes,"US$125m, plus interest and legal fees",125,yes,2008,2010,upheld
2005,2008,UKR,080/2005,AMTO LLC v. Ukraine,0,0,NA,NA,LVA,state,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Energy Charter Treaty,Electric power concession (nuclear),UTL,"?_15m, plus interest (on approximately ?_100m)",20,yes,0,0,n.a.,n.a.,n.a.,n.a.
2007,2008,VEN,ARB/07/4,Eni Dacion BV v. Bolivarian Republic of Venezuela,0,0,NA,NA,NLD,settlement,1,,0,ITA,n.a.,n.a.,n.a.,ICSID,"Netherlands-Venezuela BIT, Venezuela Investment Law (1999)",Oil and gas,OIL,Up to US$1b,1000,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2008,YEM,ARB/05/17,Desert Line Projects LLC v. Republic of Yemen,0,0,NA,NA,OMN,investor,0,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Oman-Yemen BIT,Highway construction project,UTL,"Approximately US$250m, plus interest",250,yes,"Award enumerated in two parts: Yemeni Rial 3585446554 and US$1m, plus interest (Respondent to pay claimant US$400k for legal costs and Respondent to cover 70% of cost of arbitration)",18.4,no,n.a.,n.a.,n.a.
2005,2008,ZAR,ARB/05/21,"African Holding Company of America, Inc. & Societe Africaine de Construction au Congo SARL v. Democratic Republic of the Congo",0,0,NA,NA,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Congo (Democratic Republic of)-United States BIT,unknown,MFG,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
1998,2008,CHL,ARB/98/2,Victor Pey Casado and President Allende Foundation v. Republic of Chile,1,3,1,2,ESP,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Chile-Spain BIT,Publishing (newspaper),SER,Approximately US$397m,397,yes,"US$10132690.18 award, plus interest; Respondent to pay Claimants US$2m for legal fees and US$1045579.35 in arbitration costs",10.1,yes,2009,pending,pending
2005,2008,TZA,ARB/05/22,Biwater Gauff (Tanzania) Ltd. v. United Republic of Tanzania,1,3,1,2,GBR,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Tanzania-United Kingdom BIT, Tanzania Investment Law (1997)",Water and sewage concession,UTL,Approximately US$20m,20,yes,0,0,no,n.a.,n.a.,n.a.
2003,2009,ARG,ARB/03/20,Telefonica SA v. Argentine Republic,0,3,1,2,ESP,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Spain BIT,Telecommunications,TEL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2009,ARG,ARB/04/9,CIT Group Inc. v. Argentine Republic,NA,3,1,2,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Leasing enterprise,RE,US$120m,120,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2009,AZE,ARB/06/16,Barmek v. Azerbaijan,0,0,NA,NA,TUR,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Turkey-Azerbaijan BIT, Contract",Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2009,BIH,ARB/07/11,ALAS International Baustoffproduktions AG v. Bosnia and Herzegovina,NA,0,NA,NA,AUT,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Austria-Bosnia and Herzegovina BIT,Manufacturing (cement),MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2009,CZE,n.a.,Mittal Steel Company NV (Dutch company) v Czech Republic,0,0,NA,NA,NLD,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Czech Republic-Netherlands BIT,Steel production,MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2009,CZE,n.a.,K+Venture Partners v. Czech Republic,NA,0,NA,NA,NLD,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Czech Republic-Netherlands BIT,Finance (venture capital),FIN,?_4.7m,5.1,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2009,DOM,n.a.,TCW v Dominican Republic,0,2,NA,1,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,CAFTA-DR,Electric power concession,UTL,US$500m,500,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2009,ECU,ARB/05/12,Noble Energy Inc. & Machala Power Cia. Ltd. v. Republic of Ecuador & Consejo Nacional de Electricidad,0,3,1,2,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Ecuador-United States BIT, Contract",Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2009,JOR,ARB/07/25,"Trans-Global Petroleum, Inc. v. Hashemite Kingdom of Jordan",0,0,NA,NA,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Jordan-United States BIT,Oil and gas (exploration),OIL,US$540m,540,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2009,ZAR,ARB/04/11,"Russell Resources International Limited, et al v. Democratic Republic of the Congo",NA,0,NA,NA,SRB,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Mining,MIN,unknown,unknown,yes,unknown,unknown,no,n.a.,n.a.,n.a.
2005,2009,CZE,n.a.,European Media Ventures v. Czech Republic,0,0,NA,NA,BELLUX,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Czech Republic-Luxembourg BIT,Broadcasting enterprise,TEL,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
2007,2009,LAO,n.a.,"Thai-Lao Lignite Co., Ltd. and Hongsa Lignite Co., Ltd., vs. Laos",0,3,1,2,THA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Contract with host state,Electric power concession (coal),UTL,US$447m,447,yes,US$56.21m,56.2,n.a.,n.a.,n.a.,n.a.
2006,2009,POL,n.a.,Nordzucker v Poland,0,1,0,0,DEU,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Germany-Poland BIT,Agricultural enterprise (sugar),AGR,?_153.7 m,165,yes,0,0,n.a.,n.a.,n.a.,n.a.
2008,2009,SVK,n.a.,Austrian Airlines v. Slovak Republic,0,3,1,2,AUT,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Austria-Slovak Republic BIT,Aviation,SER,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
2005,2009,THA,n.a.,Walter Bau vs. Thailand,0,0,NA,NA,DEU,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Germany-Thailand BIT,Highway construction project,UTL,unknown,unknown,yes,"?_29.2m, plus interest, plus ?_1.8m towards the Claimant??s costs and expenses in arbitration",40.8,n.a.,n.a.,n.a.,n.a.
2003,2009,USA,n.a.,Glamis Gold Ltd. v. United States of America,0,3,1,2,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Mining (gold),MIN,Not less than US$50m,50,yes,0,0,n.a.,n.a.,n.a.,n.a.
2008,2009,BLZ,n.a.,Telemedia Ltd v. Belize,0,1,0,0,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,LCIA,Contract with host state,Telecommunications,TEL,unknown,unknown,yes,"US$18.7m, plus interest",18.7,n.a.,n.a.,n.a.,n.a.
2005,2009,ARG,ARB/05/2,Compania General de Electricidad SA & CGE Argentina SA v. Argentine Republic,0,3,1,2,CHL,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Chile BIT,Electric power concession,UTL,US$125m,125,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2009,AZE,ARB/07/1,Fondel Metal v Azerbaijan,0,0,NA,NA,NLD,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Aluminum (bauxite),MIN,Approximately US$390m,390,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2009,AZE,ARB/06/15,"Azpetrol International Holdings BV, Azpetrol Group BV & Azpetrol Oil Services Group BV v. Republic of Azerbaijan",0,0,NA,NA,NLD,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Oil and gas,OIL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2005,2009,BGD,ARB/05/7,Saipem SpA v. People's Republic of Bangladesh,0,0,NA,NA,ITA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Bangladesh-Italy BIT,Oil and gas (distribution),OIL,unknown,unknown,yes,"US$6m, plus interest (each party to pay their legal costs and split the costs of arbitration)",6,no,n.a.,n.a.,n.a.
2006,2009,CZE,ARB/06/5,Phoenix Action Ltd v. Czech Republic,0,0,NA,NA,ISR,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Czech Republic-Israel BIT,Import/export (ferroalloys),SER,US$115.5m,115,yes,0,0,no,n.a.,n.a.,n.a.
2006,2009,KGZ,ARB(AF)/06/1,Sistem Muhendislik Insaat Sanayi ve Ticaret AS v. Kyrgyz Republic,0,0,NA,NA,TUR,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,"Kyrgyz Republic-Turkey BIT , Kyrgyz Investment Law (2003)",Tourism (hotel),SER,US$19.9m to $24.8m depending on valuation method,19.9,yes,"US$8.5m, plus interest (Respondent to pay Claimant US$400k for legal costs and $247410 for cost of arbitration)",8.5,no,n.a.,n.a.,n.a.
2004,2009,MEX,ARB(AF)/04/1,"Corn Products International, Inc. v. United Mexican States",0,1,0,0,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Manufacturing (sweeteners),MFG,US$325m,325,yes,About US$58m,58,no,n.a.,n.a.,n.a.
2005,2009,MEX,ARB(AF)/05/2,Cargill Incorporated v. United Mexican States,0,1,0,0,CAN,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Manufacturing (sweeteners),MFG,US$100m,100,yes,US$77329240; Respondent to pay full cost of arbitration and half of Claimant's legal costs,77.3,no,n.a.,n.a.,n.a.
